Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K00147_upstream.fna.motif.h1_1;High-covariation	0	NA	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	0	NA	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	0	NA	NA	NA	NA	NA
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	4719.92354031457	-0.68955909352683	0.11376799242197785	-6.061099249859137	1.3519437241879321e-9	6.260717933041969e-9
K03320_upstream.fna.motif.h1_3;High-covariation	0	NA	NA	NA	NA	NA
K03325_upstream.fna.motif.h2_1;High-power	0	NA	NA	NA	NA	NA
K10716_upstream.fna.motif.h1_4;Conserved-sequence	0	NA	NA	NA	NA	NA
K03665_upstream.fna.motif.h1_2.h2_1;High-power	0.5324183896802834	-0.0012559208836892687	2.576577837267646	-4.874375869898503e-4	0.9996110810903867	0.9997075991720217
K21903_upstream.fna.motif.h2_1;High-covariation	0.5680637601255241	2.7745698649991954	1.9689783615568488	1.4091418774177764	0.15879322009745186	0.22117627085002223
K04485_upstream.fna.motif.h2_3;High-power	0.16561647492838974	-0.6847765897402994	3.5332176852745687	-0.19381103875774497	0.8463238432245015	0.8823028278639973
K04485_upstream.fna.motif.h1_3;High-power	0	NA	NA	NA	NA	NA
K07086_upstream.fna.motif.h2_3;High-power	5.343676401906025	-2.36335748757051	2.41832080769322	-0.9772721137957134	0.32843445486285	0.409530943910264
K07086_upstream.fna.motif.h1_1;Conserved-sequence	0.16214229430032537	-0.6832288110539874	3.533255348848526	-0.1933709125429185	0.8466684939258596	0.8823779506883477
K09121_upstream.fna.motif.h1_4;High-power	0	NA	NA	NA	NA	NA
K09942_upstream.fna.motif.h2_1;High-power	0	NA	NA	NA	NA	NA
K21703_upstream.fna.motif.h2_1;High-power	0	NA	NA	NA	NA	NA
K02110_downstream.fna.motif.h1_5;High-covariation	20.082073137442897	0.4620526277702315	0.7219436684187179	0.6400120230741424	0.5221647829203924	0.598317664535685
Candidate_RF01343_CRISPR-DR33	0	NA	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	0.7978097548941145	2.0298953358522347	3.416842411825038	0.594085149735661	0.5524551628051994	0.6270327356242743
Candidate_RF02514_5_ureB_sRNA	9.190525490217677	0.13201123661943495	0.3992944972981136	0.3306112093021789	0.7409381781439807	0.7910345919037155
Candidate_RF02701_PsrR1	48.30854136570341	2.685908868982409	0.5579920460844666	4.813525368022588	1.4829076719167897e-6	5.101139355998564e-6
gene-SYNPCC7002_RS00010	558.2351626461515	5.688656241734972e-4	0.08041754742500237	0.007073899197237056	0.9943558921177946	0.9965108429675855
gene-SYNPCC7002_RS00015	524.5377850992326	-0.19545907905776744	0.09158723756130312	-2.134130084739575	0.032832133820873105	0.05492383316701097
gene-SYNPCC7002_RS00025	84.49000634910232	-0.3436439430038385	0.19444846934460028	-1.7672751251892602	0.07718216358455753	0.11846892708353145
gene-SYNPCC7002_RS00030	136.7154212669646	-0.6391392736009143	0.15211498919292207	-4.2016850344072045	2.6493557185335087e-5	7.754036583085865e-5
gene-SYNPCC7002_RS00035	114.00317135739813	-0.09489291818726135	0.11961835861259204	-0.7932972771729048	0.4276046428341038	0.5086939466571092
gene-SYNPCC7002_RS00040	628.5367337161225	-0.17850123009525173	0.0825675517101468	-2.1618811070222828	0.03062734162337912	0.05160890413059772
gene-SYNPCC7002_RS00045	540.301980131839	0.03786124896075067	0.06219775363594246	0.6087237359464963	0.5427075712968195	0.6177086977130565
gene-SYNPCC7002_RS00050	95.402685785447	-0.21345065567728877	0.158974765064554	-1.3426700494925345	0.17937883692323864	0.24582950682494642
gene-SYNPCC7002_RS00055	1492.8217411923563	0.8577720270519705	0.0789598991812267	10.863388073523682	1.7223790317067428e-27	2.2390927412187655e-26
gene-SYNPCC7002_RS00060	447.34226474436645	0.41835665324311017	0.12560093221547167	3.330840351769113	8.658424439339715e-4	0.0019919914648289026
gene-SYNPCC7002_RS16035	843.5029255369051	0.41601945950686936	0.11137687375744551	3.735240947890752	1.875355423062474e-4	4.835469957065464e-4
gene-SYNPCC7002_RS00070	1925.9894110340529	0.20689285562730741	0.10520501003720395	1.9665684700200428	0.04923298143105417	0.07897282502097241
gene-SYNPCC7002_RS00075	1596.3840589933122	0.1082844287722163	0.0630123817604359	1.7184627171196016	0.08571224922669789	0.12958923435162123
gene-SYNPCC7002_RS00080	408.00824702099084	0.533783527229225	0.08536297588817314	6.253103546067676	4.0237516150474375e-10	1.9794656501380782e-9
gene-SYNPCC7002_RS00085	175.33629799166	-0.16694996019728303	0.11360166597746894	-1.4696083790742547	0.14166784960971354	0.20009378301567168
gene-SYNPCC7002_RS00090	238.2348109219186	-0.3695823441129333	0.09527587683282251	-3.879075757669776	1.0485409867042697e-4	2.823733089818403e-4
gene-SYNPCC7002_RS00095	537.2719740998117	-0.16738292078624373	0.07624486082177555	-2.1953338098092394	0.028139661320426057	0.04784038009150165
gene-SYNPCC7002_RS00100	730.0972159659749	0.15366109407553977	0.06950916281211687	2.2106595426977793	0.027059422137650994	0.04634462934369114
gene-SYNPCC7002_RS00105	279.76572474568803	0.23523862597290163	0.077890007646379	3.0201386940528505	0.0025265895785295048	0.005380638464276321
gene-SYNPCC7002_RS00110	1858.9906910254613	0.7131696657453793	0.04863952568340262	14.662348280027242	1.1232015032365249e-48	2.75439641361866e-47
gene-SYNPCC7002_RS00115	515.2216787805606	-0.06067006892223885	0.0752039698007642	-0.8067402436729123	0.4198161531613557	0.5016407854497262
gene-SYNPCC7002_RS00120	1356.4088482394234	-0.02515558683132926	0.10084671978157334	-0.24944377849685576	0.8030175247627224	0.8451959742935993
gene-SYNPCC7002_RS00130	1045.6525931996023	0.29787708218666564	0.07837493771762959	3.800667545789468	1.4430680594643475e-4	3.7854224542026684e-4
gene-SYNPCC7002_RS00135	645.301621064171	0.3994190051165808	0.07914917157665055	5.046407904974354	4.501937398598024e-7	1.635552341106824e-6
gene-SYNPCC7002_RS00140	195.29487103548394	-0.1089792307130806	0.12870115393808804	-0.84676187725174	0.39712786130881744	0.4793075641523647
gene-SYNPCC7002_RS00145	449.8506140285554	0.1585151499539983	0.07756907930368731	2.0435352769033464	0.04099947893247008	0.06709570945622126
gene-SYNPCC7002_RS00150	500.9686192372463	-0.12323999704232069	0.06293182620805231	-1.958309562396773	0.0501936994229212	0.0804718249596995
gene-SYNPCC7002_RS00155	394.5874805704476	0.07026502811866508	0.10635300931189119	0.6606773853723841	0.5088192296379361	0.5863466879095761
gene-SYNPCC7002_RS00160	8141.424011851554	-0.03566594020747638	0.07893806183218818	-0.4518218382824933	0.6513973359912	0.715255487314625
gene-SYNPCC7002_RS16250	2176065.310416205	0.24453480788608092	0.07890346106880562	3.099164530600768	0.0019406721554510265	0.004218909178774327
gene-SYNPCC7002_RS00165	2413.4533582523404	-0.12258233377865946	0.05327134192528512	-2.3010934087334496	0.021386351821716852	0.037339601319793664
gene-SYNPCC7002_RS00170	1470.2611972161499	0.12671262454234133	0.07680234719646442	1.6498535418221505	0.09897289475591076	0.1462900732077092
gene-SYNPCC7002_RS00175	4513.053786854002	0.10623319415521888	0.06140891112043841	1.7299312464093153	0.08364255983501429	0.1268748670037213
gene-SYNPCC7002_RS00180	299.58221801951765	0.4192557252230132	0.10237626310307224	4.095243492145316	4.2172492113226724e-5	1.1952651461487324e-4
gene-SYNPCC7002_RS00185	3255.8524588530745	0.5642469307635934	0.0824335306561462	6.844871574374614	7.654450873009358e-12	4.488669832596248e-11
gene-SYNPCC7002_RS00190	1303.4417939181558	0.5465697932727347	0.08020081489304656	6.815015458404307	9.425363014478122e-12	5.477540408952546e-11
gene-SYNPCC7002_RS00195	642.3552226248889	0.4718178081841304	0.08664929865771745	5.445142840081231	5.1763829562161786e-8	2.0635408410433215e-7
gene-SYNPCC7002_RS00200	109.621123087079	0.38058939137688436	0.14115220769736653	2.696304914995566	0.007011345356552846	0.01353352708357875
gene-SYNPCC7002_RS00205	38614.677161047715	0.3082102153604059	0.06030413842949014	5.110929753532203	3.20577177857246e-7	1.1832478047022864e-6
gene-SYNPCC7002_RS00210	3670.247865280715	0.058015794458401486	0.059762806224226764	0.9707675747475681	0.33166403285695417	0.41308059806000796
gene-SYNPCC7002_RS00215	4427.428670202513	1.1828499997614916	0.05434469239333322	21.76569500477288	4.906049185406535e-105	4.179179266621304e-103
